aDPS,rDPS,nDPS,Class
12447.56852,11616.47236,11616.47236,BLM
11953.66305,11602.48401,11602.48401,BLM
11902.8655,11499.30228,11499.30228,BLM
12062.61145,11488.93788,11488.93788,BLM
11966.90837,11423.33168,11423.33168,BLM
11841.34863,11401.30346,11401.30346,BLM
12184.43285,11382.22752,11382.22752,BLM
11868.90938,11333.898,11333.898,BLM
11567.23854,11304.74683,11304.74683,BLM
11794.57905,11297.86407,11297.86407,BLM
11638.00952,11291.0037,11291.0037,BLM
11816.80807,11283.87671,11283.87671,BLM
11710.74525,11251.56041,11251.56041,BLM
11480.78161,11210.23141,11210.23141,BLM
11780.4162,11207.33685,11207.33685,BLM
11784.27132,11194.53819,11194.53819,BLM
12131.52104,11193.51308,11193.51308,BLM
11671.24319,11189.32226,11189.32226,BLM
11626.38215,11186.75683,11186.75683,BLM
11321.73421,11157.86367,11157.86367,BLM
11724.68345,11157.25557,11157.25557,BLM
11834.48706,11154.34395,11154.34395,BLM
11535.72999,11148.02749,11148.02749,BLM
11549.00583,11133.85195,11133.85195,BLM
11595.12393,11118.44187,11118.44187,BLM
11597.40065,11114.08271,11114.08271,BLM
11447.65086,11112.79413,11112.79413,BLM
11762.43803,11111.48286,11111.48286,BLM
11674.1077,11088.80633,11088.80633,BLM
11405.14616,11079.04431,11079.04431,BLM
11394.23602,11076.56664,11076.56664,BLM
11427.22997,11074.1414,11074.1414,BLM
11363.31185,11066.29874,11066.29874,BLM
11485.54489,11062.43625,11062.43625,BLM
11764.68727,11058.02286,11058.02286,BLM
11658.19525,11057.53515,11057.53515,BLM
11353.02346,11053.99222,11053.99222,BLM
11617.36731,11038.19202,11038.19202,BLM
11159.08134,11037.63003,11037.63003,BLM
11537.2167,11025.86632,11025.86632,BLM
11439.98127,11010.52179,11010.52179,BLM
11075.72499,11005.74758,11005.74758,BLM
11510.45928,11000.8378,11000.8378,BLM
11405.60904,10993.38808,10993.38808,BLM
11258.69632,10988.0452,10988.0452,BLM
11339.35427,10986.94881,10986.94881,BLM
11412.03718,10985.22327,10985.22327,BLM
11244.91447,10980.1453,10980.1453,BLM
11216.5702,10972.44593,10972.44593,BLM
11357.54512,10969.06245,10969.06245,BLM
11436.26506,10966.98916,10966.98916,BLM
11465.12581,10966.60975,10966.60975,BLM
11190.69463,10954.69125,10954.69125,BLM
11438.70892,10944.29157,10944.29157,BLM
11221.71731,10936.25104,10936.25104,BLM
10707.9161,10924.65863,10099.91377,RDM
11333.60368,10920.20862,10920.20862,BLM
11316.74046,10918.94319,10918.94319,BLM
11487.813,10918.00407,10918.00407,BLM
11450.82108,10912.13785,10912.13785,BLM
11192.50954,10911.94405,10911.94405,BLM
11331.62834,10911.22085,10911.22085,BLM
11281.06334,10909.61221,10909.61221,BLM
11303.93457,10909.5127,10909.5127,BLM
11373.10791,10906.28643,10906.28643,BLM
11172.66103,10905.52509,10905.52509,BLM
11608.80932,10904.55563,10904.55563,BLM
10706.41119,10903.54642,10007.56779,RDM
11115.02182,10896.69638,10896.69638,BLM
11585.31706,10896.01569,10896.01569,BLM
11274.04997,10890.9368,10890.9368,BLM
11209.79751,10888.27178,10888.27178,BLM
11617.02901,10887.33272,10887.33272,BLM
11484.01703,10886.73783,10886.73783,BLM
11276.70718,10884.9888,10884.9888,BLM
11419.30031,10884.00306,10884.00306,BLM
11464.5316,10882.68424,10882.68424,BLM
11392.45307,10882.51646,10882.51646,BLM
11400.74419,10881.24071,10881.24071,BLM
11289.43581,10875.27426,10875.27426,BLM
11224.09693,10874.94204,10874.94204,BLM
11399.54332,10871.08007,10871.08007,BLM
11208.93387,10869.65288,10869.65288,BLM
11042.18221,10868.99139,10868.99139,BLM
11459.16073,10864.84703,10864.84703,BLM
11072.7389,10863.27147,10863.27147,BLM
11364.58188,10860.36784,10860.36784,BLM
11155.20464,10858.37179,10858.37179,BLM
11304.71082,10857.04473,10857.04473,BLM
11328.61169,10855.25888,10855.25888,BLM
10273.51672,10853.7,9912.808396,RDM
11273.78314,10852.03448,10852.03448,BLM
11553.29833,10849.74271,10849.74271,BLM
11178.701,10848.95069,10848.95069,BLM
11224.05726,10845.07113,10845.07113,BLM
11347.46197,10839.14282,10839.14282,BLM
11229.82768,10839.12873,10839.12873,BLM
11596.62369,10838.57775,10838.57775,BLM
11628.51791,10838.35262,10838.35262,BLM
10248.18772,10837.84466,9891.264027,RDM
11379.53454,10833.28371,10833.28371,BLM
11524.59061,10830.3438,10830.3438,BLM
11247.61439,10816.98854,10816.98854,BLM
10994.34221,10813.95839,10813.95839,BLM
10659.67485,10730.39356,9814.73367,RDM
10672.78157,10709.76381,10031.29789,SMN
10478.49248,10708.92777,10038.45625,SMN
10644.60646,10676.65417,10098.72781,SMN
10539.47234,10670.70667,10102.00236,SMN
10596.45926,10650.16943,9983.764878,SMN
10374.74507,10625.8228,10012.07952,SMN
10551.88804,10625.27301,10031.54452,SMN
10389.52525,10618.70326,9991.583644,SMN
10507.13265,10617.58824,9938.317634,SMN
10621.82914,10616.07729,9929.199523,SMN
10104.55857,10614.82655,9922.079861,RDM
10188.29971,10611.84458,10058.51919,SMN
10112.11126,10611.62045,10054.29446,SMN
10430.25441,10607.3434,9914.005566,SMN
11023.67461,10597.65279,9971.137106,SMN
10457.44855,10589.04364,10031.76943,SMN
10597.62097,10581.29486,10030.04786,SMN
10314.57637,10579.4172,10031.54707,SMN
10525.54651,10578.19586,9942.61971,SMN
10556.67781,10576.9206,9994.805323,SMN
10452.33194,10574.86129,9928.718039,SMN
10150.68886,10569.26193,9739.472738,RDM
10141.52935,10568.01931,9960.609359,SMN
10292.28021,10562.91834,9950.658948,SMN
10579.35596,10561.43629,9963.929845,SMN
10382.38777,10542.08736,9954.093129,SMN
10213.48673,10538.97825,9937.12067,SMN
10443.99622,10535.95854,10132.65396,SMN
10544.20392,10535.34918,9901.377383,SMN
10527.0883,10533.21858,9915.366553,SMN
10226.24321,10527.54467,9738.008056,RDM
10496.7415,10521.52751,9913.587245,SMN
10222.04505,10518.53308,9956.897112,SMN
10378.11995,10517.20308,9966.29449,SMN
10369.76762,10501.92238,9893.277484,SMN
10373.16432,10489.21817,9885.889581,SMN
10289.73892,10484.43094,9849.141652,SMN
10139.78733,10477.90988,9844.657092,SMN
10239.78644,10475.67094,9826.269606,SMN
10014.77974,10473.98738,9661.097732,RDM
10006.12783,10473.80505,9605.831863,RDM
10352.77075,10470.96919,9846.4281,SMN
10364.70819,10467.06942,9967.851158,SMN
10355.15974,10464.06761,9805.58583,SMN
10325.35985,10459.09478,9774.952006,SMN
10273.572,10453.19261,9916.022274,SMN
10178.60201,10451.19447,9870.472842,SMN
