aDPS,rDPS,nDPS,Class
11361.84351,11804.82068,10847.1829,NIN
11309.19476,11699.90915,10638.80038,DRG
11596.42829,11672.55523,10931.48975,MNK
11618.17259,11587.43043,10860.89154,MNK
11675.16815,11514.81414,10794.5219,MNK
11579.31009,11477.58964,10596.37409,NIN
11541.48569,11435.43378,10722.4757,MNK
11156.50748,11432.47677,10510.04402,NIN
11014.02156,11410.67681,10449.35023,NIN
11174.28612,11390.95993,10669.46157,MNK
11042.5404,11350.22737,10421.26232,DRG
11109.45756,11327.87812,10656.69256,MNK
11597.93549,11324.74393,10619.4769,MNK
11190.11196,11315.52076,10412.76601,NIN
11470.87242,11311.311,10509.99302,NIN
11273.9637,11307.31941,10681.74184,MNK
11043.99694,11304.75211,10771.11691,MNK
11253.23075,11302.60618,10745.10174,MNK
10905.83832,11298.89258,10615.63226,MNK
11096.47818,11273.3595,10694.75265,MNK
11249.09165,11271.43432,10356.61216,NIN
11098.76781,11270.43886,10360.14494,DRG
11083.11949,11254.64642,10366.52992,NIN
10834.53954,11247.3087,10373.10615,NIN
10844.73078,11246.02215,10278.18521,DRG
10956.52416,11242.5757,10361.81171,DRG
10859.58395,11240.50588,10444.11463,DRG
10691.34647,11233.78938,10265.08939,DRG
11226.81257,11228.87453,10330.42113,DRG
11014.40765,11219.60788,10321.90659,DRG
11609.1701,11216.24534,10554.3702,MNK
11253.09712,11207.38326,10715.43658,RPR
11039.85349,11206.90451,10354.16692,NIN
10702.20392,11202.65665,10387.34264,NIN
11552.82877,11198.90789,11198.90789,SAM
11289.62231,11198.54328,10597.32859,MNK
10745.94246,11197.3235,10250.37842,NIN
11296.75356,11191.82454,10586.72565,MNK
12061.48477,11190.84714,11190.84714,SAM
11645.70018,11187.00635,11187.00635,SAM
11117.85956,11183.40187,10410.75525,DRG
10889.5836,11178.96905,10584.0552,MNK
11071.12782,11176.64714,10502.98676,MNK
10921.93603,11175.91338,10194.18546,NIN
11152.09708,11167.70337,10340.8671,NIN
11219.88247,11159.43059,10611.28787,MNK
10805.17691,11150.33843,10343.53887,DRG
11343.65664,11149.7588,10474.79386,MNK
10977.51736,11145.79097,10236.70752,DRG
11409.69108,11142.2104,10517.90715,MNK
10952.9487,11138.56453,10460.90247,NIN
11166.87911,11137.6472,10476.4379,MNK
11228.26243,11136.9797,10297.67068,NIN
10399.22472,11133.45758,10245.17038,DRG
11636.64776,11132.34711,11132.34711,SAM
11704.93802,11131.74286,11131.74286,SAM
10894.03095,11119.51799,10257.04976,DRG
11197.52675,11117.82274,10604.60012,MNK
11176.00873,11117.32196,10618.92502,RPR
11045.28366,11116.90579,10523.76515,MNK
11169.05087,11116.83822,10639.4868,RPR
11848.06913,11115.57329,11115.57329,SAM
10923.36273,11115.4237,10243.0385,NIN
10655.273,11114.82455,10511.13784,MNK
10864.90096,11114.13538,10492.96654,MNK
10606.87245,11114.12356,10158.11024,DRG
11043.01395,11112.78501,10347.96658,NIN
11116.2981,11110.05944,10340.48457,NIN
11179.25563,11109.78645,10386.58637,MNK
11982.39236,11108.74863,11108.74863,SAM
11009.10174,11106.54132,10484.56404,MNK
11078.97432,11098.7132,10160.6455,NIN
10842.826,11097.91797,10253.23806,DRG
11995.41098,11097.03599,11097.03599,SAM
10645.6046,11094.68302,10266.19463,NIN
11331.19888,11093.30408,10307.06571,NIN
11768.93394,11093.22217,11093.22217,SAM
11048.421,11085.19444,10313.46057,NIN
10685.61505,11084.93418,10402.1079,MNK
10790.3703,11084.81853,10231.79941,NIN
10908.56312,11083.97055,10308.65479,MNK
11793.39512,11082.8601,11082.8601,SAM
10799.83545,11082.29113,10300.48592,NIN
11997.56899,11079.89688,11079.89688,SAM
12093.29298,11076.79846,11076.79846,SAM
10621.27306,11074.30491,10380.68234,DRG
10925.73196,11073.94789,10322.33469,NIN
10619.88927,11071.14098,10213.23294,DRG
10793.09615,11069.25815,10334.98427,NIN
10771.84655,11068.88488,10271.38373,NIN
10576.22545,11066.78041,10259.76907,DRG
11303.35203,11065.78665,10556.70608,MNK
10549.25715,11065.21619,10207.88777,DRG
11924.35257,11060.5265,11060.5265,SAM
11042.3908,11057.92121,10308.68406,NIN
11847.46931,11057.54228,11057.54228,SAM
11854.02375,11055.56405,11055.56405,SAM
11088.54277,11053.86688,10467.83466,MNK
10719.62291,11053.82712,10356.05855,MNK
11194.64563,11053.7343,10518.13764,MNK
11000.77033,11052.69033,10560.09545,RPR
12005.85904,11046.72392,11046.72392,SAM
10914.80916,11046.70754,10421.13899,MNK
11108.78192,11043.89939,10182.91662,NIN
10927.09383,11043.8133,10371.82384,MNK
11691.25949,11042.68296,11042.68296,SAM
11039.74549,11038.50677,10487.98898,MNK
11201.53977,11037.52366,10235.35869,NIN
10881.15819,11037.32192,10435.29099,MNK
11960.83343,11037.14998,11037.14998,SAM
10941.29596,11034.85535,10238.64888,DRG
10906.64319,11033.80976,10189.73403,NIN
11008.30739,11033.3208,10614.31597,RPR
10886.53101,11032.29623,10185.03471,DRG
10811.01895,11028.6309,10431.4397,MNK
10537.6035,11027.74454,10264.50186,DRG
11078.26523,11027.20238,10226.73766,NIN
10938.74222,11026.54598,10392.22349,MNK
10876.87888,11026.42404,10278.90262,NIN
10774.24085,11025.47844,10481.00135,MNK
10861.86442,11024.42247,10225.38904,NIN
11759.19925,11023.85162,11023.85162,SAM
11006.01782,11022.40991,10409.7144,MNK
10652.06132,11016.38479,10172.55773,NIN
10462.54686,11016.03278,10196.91943,DRG
10755.44127,11015.51972,10184.81097,DRG
11656.88033,11014.73108,11014.73108,SAM
11144.01115,11014.32525,10232.86538,DRG
11356.31734,11012.97026,10482.41269,MNK
11182.91592,11012.92663,10447.88463,MNK
10904.42496,11012.74233,10369.64166,MNK
11080.76299,11012.04362,10471.89907,MNK
10885.38009,11012.02949,10167.27532,NIN
10943.07692,11008.35203,10358.03025,MNK
10788.20118,11007.11108,10431.40514,MNK
10824.99048,11006.60804,10169.20891,NIN
10750.6359,11006.48185,10247.39286,DRG
10433.17858,11006.06919,10125.61013,NIN
10682.14366,11005.75121,10093.17916,DRG
10996.89011,11005.60103,10224.52264,NIN
10985.40928,11004.33499,10177.60586,DRG
11604.37343,11002.04223,11002.04223,SAM
11536.40387,10997.09987,10997.09987,SAM
10825.68073,10993.47223,10434.90232,MNK
10859.89152,10993.32464,10403.7752,MNK
11187.36062,10992.53616,10572.80915,RPR
11138.75554,10992.35288,10454.04154,MNK
11626.19679,10991.62096,10991.62096,SAM
10647.64676,10991.1707,10550.98625,MNK
10880.68184,10988.08952,10257.51044,NIN
11382.23179,10987.60204,10987.60204,SAM
10902.28634,10986.98561,10194.58628,NIN
10969.8767,10986.62674,10220.04825,NIN
10770.71108,10986.6141,10348.09874,MNK
11201.28555,10986.57438,10986.57438,SAM
11609.00716,10986.42118,10986.42118,SAM
11155.65503,10983.38325,10140.23725,NIN
10544.61014,10982.6694,10167.44226,DRG
11053.80911,10981.78929,10102.47711,DRG
10955.64563,10981.66811,10278.89696,NIN
11833.87841,10981.25265,10981.25265,SAM
10973.81664,10980.597,10148.27994,DRG
10548.77473,10980.42527,10157.79892,DRG
10788.46887,10980.31516,10323.11217,MNK
11035.976,10979.7689,10483.51432,RPR
10819.22426,10979.59152,10085.83628,DRG
10835.7809,10977.55238,10423.78319,MNK
11911.31273,10977.13451,10977.13451,SAM
10819.84889,10976.8342,10142.04122,DRG
10642.26295,10975.69637,10064.50401,NIN
10819.75732,10975.41099,10438.75337,MNK
10810.75267,10972.31308,10211.59674,NIN
10690.23488,10969.93126,10202.77506,DRG
10793.59611,10967.53551,10476.9574,MNK
10942.80615,10967.31197,10486.624,RPR
10644.0632,10965.86588,10421.25971,MNK
10598.87462,10964.39053,10160.69638,DRG
11247.0317,10963.4214,10348.88164,MNK
10951.13525,10963.33992,10373.64213,MNK
10961.76873,10963.30436,9981.379699,DRG
10889.45503,10963.10336,10354.96222,MNK
11050.57184,10962.46016,10525.45577,RPR
11061.88157,10960.30543,10588.85759,MNK
11271.25233,10959.85754,10959.85754,SAM
10777.96863,10959.22276,10510.69522,RPR
10985.74656,10958.41511,10368.35735,MNK
10763.83081,10957.00772,10384.31058,MNK
10802.46494,10956.88667,10081.2644,DRG
10990.86504,10954.88611,10206.54001,DRG
10520.8775,10954.63873,10103.46025,DRG
10205.31552,10954.62108,9978.185919,DRG
12067.02782,10952.7785,10952.7785,SAM
11751.31108,10952.60412,10952.60412,SAM
10615.69603,10950.97398,10131.90068,NIN
10883.46148,10950.58957,10106.40009,NIN
11088.64408,10949.67692,10583.93157,RPR
11090.61788,10947.73865,10294.66125,NIN
10972.3048,10947.40971,10357.49124,MNK
11773.27112,10947.21627,10947.21627,SAM
10662.92768,10945.42371,10052.14552,DRG
10615.8463,10945.22368,10281.31279,DRG
10565.82445,10943.72011,10262.51047,NIN
10502.76471,10942.89227,10243.9114,DRG
10819.94681,10942.64908,10327.63804,MNK
10702.44031,10940.57742,10337.12235,DRG
10868.91762,10939.13517,10451.41048,MNK
11543.25575,10938.8902,10938.8902,SAM
10834.2821,10938.88951,10189.41553,NIN
10396.60119,10938.01908,10307.57249,NIN
10641.07251,10937.78079,10132.03714,DRG
11457.14819,10937.63731,10937.63731,SAM
10646.03117,10932.75808,10224.958,NIN
11310.96116,10931.22355,10931.22355,SAM
10947.98103,10930.0199,10171.24567,NIN
10998.10822,10929.87986,10080.63187,DRG
11754.28208,10928.86011,10928.86011,SAM
10842.96347,10927.65816,10301.21293,MNK
10487.46161,10927.01046,10155.21108,NIN
10833.06749,10926.28747,9960.087396,DRG
11523.09611,10925.71937,10925.71937,SAM
10706.74652,10923.61657,10166.84351,NIN
10601.10163,10923.24652,10182.21963,DRG
11016.59704,10923.1983,10451.35273,RPR
10708.84431,10923.1904,10107.13649,NIN
10757.87573,10922.08001,10302.78032,MNK
10521.18702,10921.56863,10122.58065,DRG
10730.35805,10919.80231,10121.79259,NIN
10618.22338,10919.38858,10158.93743,DRG
10655.45463,10919.33914,10172.91965,NIN
10887.79334,10919.2886,10183.54337,DRG
11453.26187,10919.02764,10919.02764,SAM
10465.2946,10918.7866,10247.12067,NIN
11764.45333,10918.43421,10918.43421,SAM
10607.64087,10917.56931,10020.53927,DRG
11175.57427,10916.85627,10480.22339,RPR
11143.701,10916.41834,10511.78936,RPR
11497.56625,10911.56086,10911.56086,SAM
11672.08084,10911.56079,10911.56079,SAM
10726.02596,10910.85923,10158.4928,DRG
10764.83388,10910.08301,10056.67429,DRG
10756.17359,10908.97814,10154.896,NIN
10658.0407,10908.56462,10423.85904,MNK
10823.06512,10908.22701,10396.69776,MNK
11017.81766,10908.0447,10128.09631,NIN
11551.32685,10906.95319,10906.95319,SAM
10420.17018,10906.81593,10114.64866,DRG
10800.06251,10906.19339,10168.55187,NIN
10585.19619,10904.06942,10068.27134,NIN
10909.2371,10904.00835,10182.95186,NIN
10536.23446,10903.51164,10035.09642,DRG
11452.77295,10903.19984,10903.19984,SAM
11657.9751,10902.8842,10902.8842,SAM
10721.70921,10902.15198,10473.74402,MNK
10811.08479,10901.90168,10388.67926,MNK
10977.19685,10901.41181,10136.5701,DRG
10714.77404,10901.30292,10082.02973,DRG
10738.1481,10900.73005,10454.72762,MNK
10853.39369,10900.66193,10112.77244,NIN
11303.21579,10900.3978,10900.3978,SAM
10793.67793,10900.07256,10278.75254,NIN
10556.64635,10897.33049,10040.91672,NIN
11096.51406,10896.82557,10463.04486,RPR
10668.10636,10896.55091,10131.94965,NIN
10467.20218,10896.40625,10086.87127,DRG
11704.89613,10896.10829,10896.10829,SAM
11254.33505,10895.83926,10895.83926,SAM
10907.832,10894.64806,10522.44956,RPR
10688.53759,10894.29365,10176.3693,NIN
10832.75621,10893.63313,10328.53846,MNK
11057.58686,10892.35949,10484.69489,RPR
10697.96727,10892.21248,10349.24325,NIN
11089.50111,10892.03453,10330.10917,MNK
10922.75574,10891.44309,10385.37215,MNK
10714.39975,10890.61171,10064.81099,NIN
10624.40204,10890.2778,10378.65374,MNK
11970.58905,10889.83069,10889.83069,SAM
10682.56723,10889.31582,10095.51112,DRG
10504.08004,10888.89004,10167.72357,NIN
10482.67632,10888.87862,10098.7216,NIN
11215.12241,10888.56785,10888.56785,SAM
10990.16404,10887.68232,10470.78423,RPR
10379.79895,10886.73997,10132.98983,DRG
10726.48869,10886.28502,10139.40407,NIN
10901.40127,10884.96086,10008.48738,NIN
10585.05202,10883.3194,10095.76644,NIN
11703.22577,10882.25188,10882.25188,SAM
10979.82056,10881.76896,10517.39951,RPR
10468.64277,10880.99138,10107.96495,DRG
11197.24716,10879.74694,10421.28519,RPR
10919.70039,10879.45703,10320.35215,MNK
11716.31038,10878.75616,10878.75616,SAM
11626.97819,10878.51824,10878.51824,SAM
11430.67348,10877.68124,10877.68124,SAM
10695.78577,10876.37124,10059.90773,DRG
11246.40916,10876.23326,10876.23326,SAM
11413.08662,10875.70212,10875.70212,SAM
10164.10325,10875.51848,9946.760709,DRG
10840.72612,10875.08843,10420.74761,RPR
10662.61355,10872.77005,10297.21991,NIN
10417.48077,10872.67445,10018.47738,DRG
11498.94856,10872.62661,10872.62661,SAM
11385.47524,10872.61325,10872.61325,SAM
10484.51571,10871.20953,10086.45098,NIN
10655.85393,10870.90454,10027.66294,DRG
10631.66949,10870.54265,10458.7028,RPR
10811.41098,10870.0833,10489.52759,RPR
11371.68488,10868.97776,10868.97776,SAM
10752.32403,10868.25096,10316.44121,MNK
11209.28259,10867.96024,10250.94052,MNK
11570.8167,10867.6981,10867.6981,SAM
10996.29976,10867.27492,10274.097,MNK
10612.049,10867.11158,10090.14277,DRG
10839.31248,10866.70347,10128.90577,NIN
10899.59922,10866.56954,10468.20813,RPR
10567.09304,10865.39904,9997.535779,NIN
11231.3862,10865.32056,10865.32056,SAM
10755.93286,10865.0236,10048.30941,DRG
10679.14226,10864.83266,10087.42339,NIN
10395.18495,10864.8009,10101.96771,NIN
10908.42212,10864.79367,10119.06169,NIN
10742.62894,10864.56306,10327.50348,MNK
10852.18074,10864.27503,10273.34661,MNK
10764.7536,10863.80185,10326.14687,MNK
10581.01727,10862.08995,10142.4652,NIN
10675.59701,10862.01753,9981.179941,DRG
10722.6977,10861.98894,10014.0214,NIN
10713.96139,10861.02835,10220.89988,NIN
10779.99871,10860.57194,10404.09443,RPR
11857.35861,10860.56806,10860.56806,SAM
10543.41102,10860.35299,10251.71024,NIN
10847.21961,10859.43015,10230.61599,NIN
11944.20398,10858.68892,10858.68892,SAM
10819.10584,10858.10697,10383.92847,RPR
10777.19198,10857.96364,10102.56327,DRG
10637.03937,10856.85606,10248.47549,MNK
10734.37865,10856.44701,10179.65322,MNK
10899.04434,10855.82593,10306.058,MNK
10498.01463,10854.93137,9988.403264,DRG
11346.68784,10854.62447,10854.62447,SAM
10845.51659,10854.26965,10060.46039,NIN
11621.73656,10853.57476,10853.57476,SAM
10663.8064,10852.95786,10148.11587,DRG
11368.5995,10852.12289,10852.12289,SAM
10949.93243,10852.04355,10042.16647,DRG
10713.32879,10852.01611,10316.52833,MNK
10729.06707,10851.7783,10097.94171,NIN
11712.24557,10850.65117,10850.65117,SAM
11951.58684,10850.49197,10850.49197,SAM
10574.24446,10850.19371,10163.06062,NIN
11751.46395,10850.08219,10850.08219,SAM
10800.26004,10849.95801,10359.09604,RPR
10951.52035,10848.73668,10011.89122,NIN
11336.62928,10848.33745,10848.33745,SAM
