aDPS,rDPS,nDPS,Class
9628.515635,11350.80977,9111.846246,DNC
9403.533566,11215.77185,8941.154872,DNC
9315.516048,11194.74969,8881.254814,DNC
9273.666649,11166.59357,8794.085415,BRD
9260.75153,10954.53713,8817.283885,DNC
8983.514613,10943.92029,8872.29018,DNC
9169.59188,10938.57885,8701.110715,DNC
9108.618992,10911.02854,8717.133865,DNC
9305.53481,10887.39825,8799.646089,BRD
9608.392505,10868.44882,8845.692752,DNC
9475.97755,10848.96439,8891.093031,DNC
9255.797933,10846.98744,8719.820559,DNC
9487.831405,10842.2162,8717.50452,DNC
9244.88953,10825.56854,8735.055067,DNC
9021.940182,10825.56093,8603.064877,BRD
9088.59157,10820.90903,8679.860328,DNC
8950.049648,10813.76959,8540.188608,DNC
9100.760157,10799.89058,8681.242451,DNC
9315.317315,10788.12973,8827.82593,DNC
9243.402274,10786.42385,8905.360424,DNC
8995.628529,10780.46782,8544.492259,DNC
9144.342826,10780.19418,8618.079756,DNC
9333.600807,10771.86568,8719.004066,DNC
9254.814061,10761.70056,8680.375099,DNC
9087.687863,10750.30663,8707.418375,DNC
9132.636221,10748.07306,8516.347569,BRD
9154.848654,10745.75371,8762.940691,DNC
9158.885478,10714.7613,8670.442892,DNC
9028.551001,10702.95773,8744.270548,DNC
9336.728687,10696.54357,8613.179587,DNC
9265.754413,10695.58548,8747.809753,BRD
9043.387124,10695.09385,8585.200196,DNC
9196.210569,10694.44112,8719.264786,DNC
9353.104624,10690.9397,8761.788594,DNC
9311.543935,10677.28172,8816.076313,DNC
9013.407505,10676.41369,8523.307427,BRD
9067.871047,10675.97932,8489.849906,DNC
8941.02587,10662.36516,8582.151386,DNC
9138.618561,10637.54489,8740.466832,DNC
9215.706106,10615.68312,8791.524741,DNC
8962.849249,10609.67193,8577.684191,DNC
9079.851912,10603.85934,8597.304213,DNC
8976.394475,10603.33845,8532.045132,BRD
8976.434398,10600.72109,8556.438999,BRD
9098.408884,10596.61129,8574.286159,DNC
9118.13306,10592.30122,8604.355069,DNC
9084.369635,10579.57061,8601.892576,DNC
8758.567681,10571.2034,8622.552381,DNC
9118.568266,10561.96318,8840.143342,DNC
9164.828242,10549.8956,8709.764918,DNC
9166.808282,10549.06292,8595.28828,DNC
9155.718329,10547.4129,8676.742831,DNC
8798.419702,10542.43045,8483.010815,DNC
9229.932796,10537.81238,8566.796897,DNC
9021.572432,10535.17714,8597.723439,DNC
8980.329052,10533.21325,8538.052148,DNC
9109.63985,10532.63608,8466.101746,DNC
9071.107998,10529.90495,8744.710183,DNC
8974.260554,10527.759,8537.474409,BRD
9158.067844,10527.29073,8811.879957,DNC
9104.983127,10525.91142,8612.849089,DNC
9042.737405,10525.87317,8526.765776,DNC
9344.107501,10517.20265,8760.817162,DNC
9059.496864,10509.1298,8519.226888,DNC
9303.396753,10506.4603,8632.236643,BRD
8845.175323,10504.62133,8389.723166,DNC
8725.524874,10502.983,8485.645571,DNC
8636.824972,10499.01889,8376.795212,DNC
9151.582057,10497.26155,8668.017838,DNC
9091.947037,10494.62689,8484.590791,DNC
8888.088008,10490.70561,8276.797881,DNC
9180.342749,10489.29419,8652.247492,BRD
8695.172154,10488.75909,8417.510333,DNC
8972.418706,10487.68827,8488.688541,DNC
8848.371689,10482.17262,8543.492034,DNC
8720.302178,10477.98802,8434.407604,DNC
9173.654022,10474.75724,8657.777733,DNC
9080.602907,10474.10185,8732.476039,DNC
9012.607779,10471.62279,8471.230266,BRD
8700.531987,10469.9982,8432.512281,DNC
9067.965332,10468.19446,8586.217767,DNC
9041.511841,10467.16799,8667.730043,DNC
9282.489024,10465.26103,8789.911965,BRD
9165.177281,10462.55611,8798.168077,DNC
9234.305736,10459.36176,8573.812807,DNC
8812.519658,10458.63608,8486.483555,DNC
9024.932105,10458.59117,8446.915145,DNC
8866.571986,10449.86473,8448.18505,DNC
8901.017385,10448.99707,8539.326421,DNC
8954.843448,10448.86967,8630.995745,DNC
8858.768358,10448.17857,8398.667987,DNC
8900.518319,10442.99782,8503.41703,DNC
8910.91058,10442.54479,8550.428252,DNC
9191.342354,10441.48185,8653.975062,BRD
8899.156046,10432.27624,8547.356456,DNC
9054.245956,10428.15317,8492.104136,DNC
9047.079111,10427.29844,8450.424158,DNC
9009.358176,10425.99918,8474.506655,DNC
8956.303983,10420.60872,8501.27927,DNC
9075.907728,10419.6957,8524.255156,BRD
9091.587898,10415.08842,8534.892184,BRD
8827.493361,10406.04424,8594.378515,DNC
8926.625046,10405.46837,8558.845916,DNC
9090.665931,10403.88104,8606.038675,DNC
8966.298695,10398.02793,8581.428279,DNC
8761.658043,10393.1276,8452.241355,DNC
9108.617281,10391.31553,8583.851082,BRD
8945.958921,10388.59947,8539.688089,DNC
9045.747076,10385.04038,8523.859908,DNC
8762.571521,10382.14688,8428.826207,DNC
8796.195165,10377.63721,8506.199069,DNC
8826.561234,10374.28289,8327.348032,DNC
8915.035347,10370.49462,8511.970572,DNC
8836.180255,10369.67527,8483.359539,DNC
8736.663991,10367.79864,8615.448851,DNC
8934.667327,10364.56382,8419.108944,DNC
8746.375594,10361.35756,8414.60727,DNC
9049.053415,10359.72483,8573.221375,BRD
9028.839772,10336.22765,8500.047006,BRD
8966.682757,10305.5498,8470.729232,BRD
8757.074496,10302.00449,8268.768979,BRD
