aDPS,rDPS,nDPS,Class
7991.78879,7463.541477,7463.541477,GNB
7948.378027,7462.864157,7462.864157,GNB
8343.96128,7453.170321,7453.170321,DRK
8456.546078,7434.084023,7434.084023,DRK
7679.337059,7409.112289,7409.112289,PLD
7829.248473,7408.948363,7408.948363,GNB
7876.317244,7384.919937,7384.919937,GNB
8236.217632,7383.761966,7383.761966,DRK
8152.492353,7383.72902,7383.72902,DRK
7666.818596,7377.347468,7377.347468,GNB
7935.710961,7363.030528,7363.030528,GNB
7663.376115,7360.016927,7360.016927,GNB
7682.19819,7359.099719,7359.099719,PLD
7630.070309,7344.505968,7344.505968,GNB
7799.966872,7341.102154,7341.102154,GNB
7530.681723,7339.662395,7339.662395,PLD
7895.474846,7337.938163,7337.938163,GNB
7567.76312,7335.36268,7335.36268,PLD
7990.619787,7332.241985,7332.241985,DRK
7642.701779,7332.048559,7332.048559,GNB
7594.661226,7331.595122,7331.595122,GNB
8062.715438,7326.656567,7326.656567,GNB
7562.166855,7323.47589,7323.47589,PLD
7691.298743,7319.369719,7319.369719,GNB
7884.282341,7318.392034,7318.392034,GNB
7904.931187,7315.610027,7315.610027,DRK
7531.711143,7312.139012,7312.139012,GNB
7760.095952,7301.82332,7301.82332,PLD
7884.012071,7277.327149,7277.327149,GNB
7461.222843,7276.488094,7276.488094,PLD
8310.983676,7272.593168,7272.593168,DRK
8080.77992,7272.504915,7272.504915,DRK
7744.235205,7271.089227,7271.089227,GNB
7595.430679,7262.41876,7262.41876,PLD
7640.782131,7261.772028,7261.772028,GNB
7525.56499,7261.184057,7261.184057,PLD
7967.902204,7258.094391,7258.094391,DRK
7637.20703,7250.942846,7250.942846,DRK
7422.484347,7249.672011,7249.672011,PLD
7576.697744,7248.693086,7248.693086,PLD
7504.086603,7247.295135,7247.295135,PLD
7725.422519,7247.237329,7247.237329,PLD
7651.002271,7246.682988,7246.682988,GNB
7597.296769,7244.506263,7244.506263,PLD
7479.048311,7242.610675,7242.610675,PLD
7634.420947,7240.984207,7240.984207,GNB
7529.27316,7235.460272,7235.460272,DRK
7411.330644,7235.194323,7235.194323,PLD
7416.968264,7232.003223,7232.003223,PLD
7660.04181,7231.683974,7231.683974,GNB
7470.911405,7230.948555,7230.948555,PLD
7627.469775,7230.812073,7230.812073,GNB
7947.832055,7230.012206,7230.012206,GNB
7640.961592,7225.653439,7225.653439,DRK
7877.046907,7223.769195,7223.769195,DRK
7877.100097,7219.014464,7219.014464,GNB
7739.283753,7218.686183,7218.686183,DRK
8048.809014,7217.277713,7217.277713,GNB
7497.246904,7217.253179,7217.253179,PLD
7577.254628,7213.902349,7213.902349,PLD
7600.216594,7212.810565,7212.810565,GNB
7573.425738,7210.478109,7210.478109,PLD
8161.746038,7210.435475,7210.435475,DRK
7585.75236,7209.980638,7209.980638,PLD
7414.619507,7209.030828,7209.030828,PLD
7703.767273,7208.763053,7208.763053,GNB
7577.345642,7208.308031,7208.308031,GNB
7516.433235,7205.881055,7205.881055,PLD
7873.571209,7204.177666,7204.177666,DRK
7743.598477,7203.213121,7203.213121,GNB
7939.388104,7201.937024,7201.937024,DRK
7675.013822,7201.688154,7201.688154,GNB
8268.528296,7200.873898,7200.873898,DRK
7525.48486,7199.762654,7199.762654,PLD
7722.071055,7197.430518,7197.430518,DRK
7870.690335,7196.819087,7196.819087,DRK
7706.370229,7196.600511,7196.600511,GNB
7705.717049,7195.887084,7195.887084,DRK
7948.465018,7194.645954,7194.645954,GNB
7932.782537,7194.264177,7194.264177,GNB
7546.681345,7187.637353,7187.637353,PLD
7450.028791,7186.529671,7186.529671,PLD
7530.157933,7185.976869,7185.976869,GNB
7612.085255,7185.821271,7185.821271,DRK
7663.6319,7182.384456,7182.384456,DRK
7811.892347,7181.352101,7181.352101,GNB
7867.918405,7181.345913,7181.345913,DRK
7369.655255,7181.259575,7181.259575,GNB
7930.244745,7179.971603,7179.971603,GNB
7475.480141,7178.184232,7178.184232,PLD
7837.684346,7177.168998,7177.168998,DRK
7349.869281,7175.605808,7175.605808,PLD
7861.185775,7174.815779,7174.815779,DRK
7420.659129,7174.779236,7174.779236,GNB
7594.049257,7174.507544,7174.507544,GNB
8115.679747,7174.305626,7174.305626,DRK
8007.805352,7172.242543,7172.242543,DRK
7708.449137,7172.138469,7172.138469,GNB
7724.37071,7170.787722,7170.787722,WAR
7469.428116,7166.233827,7166.233827,PLD
7721.925794,7164.588577,7164.588577,DRK
7564.662072,7162.918986,7162.918986,GNB
7552.328366,7162.858116,7162.858116,GNB
8013.466914,7160.774808,7160.774808,DRK
7476.355041,7159.712068,7159.712068,WAR
7688.171315,7159.51045,7159.51045,DRK
7774.850467,7157.665202,7157.665202,GNB
7449.393978,7155.659734,7155.659734,PLD
7916.996378,7154.257794,7154.257794,DRK
7311.25622,7154.195902,7154.195902,WAR
7587.352153,7151.463438,7151.463438,GNB
7435.355185,7151.366917,7151.366917,PLD
7761.118611,7151.079372,7151.079372,GNB
7460.068518,7148.752101,7148.752101,GNB
7490.845794,7148.69107,7148.69107,DRK
7831.578282,7147.95624,7147.95624,DRK
7828.972558,7147.459309,7147.459309,DRK
7580.322434,7146.120636,7146.120636,DRK
7729.439833,7146.115969,7146.115969,DRK
7500.065178,7145.961891,7145.961891,GNB
7597.449135,7145.633549,7145.633549,DRK
7816.638342,7144.559418,7144.559418,DRK
7627.931934,7143.129572,7143.129572,GNB
7627.802457,7140.355268,7140.355268,GNB
8106.191061,7140.216529,7140.216529,DRK
7365.351447,7139.975047,7139.975047,PLD
7561.840341,7137.966433,7137.966433,PLD
7451.762651,7137.549113,7137.549113,PLD
7557.778389,7137.033611,7137.033611,GNB
7705.205205,7134.269539,7134.269539,DRK
7438.494081,7134.122211,7134.122211,GNB
7511.570697,7132.803973,7132.803973,GNB
7499.266725,7132.458526,7132.458526,PLD
7479.159768,7131.688069,7131.688069,GNB
7627.185658,7131.552954,7131.552954,GNB
7580.599896,7129.395251,7129.395251,PLD
7647.363788,7126.903983,7126.903983,DRK
7622.12025,7125.873421,7125.873421,DRK
7545.826907,7125.147623,7125.147623,DRK
7438.164338,7123.934181,7123.934181,PLD
7376.792446,7123.168715,7123.168715,PLD
7311.688141,7122.288966,7122.288966,PLD
7538.952105,7121.434467,7121.434467,GNB
7872.923214,7121.017907,7121.017907,DRK
7432.320258,7120.621802,7120.621802,GNB
7405.192772,7120.60937,7120.60937,PLD
7548.662225,7120.177155,7120.177155,GNB
7379.623895,7118.992987,7118.992987,PLD
7503.543621,7118.5431,7118.5431,GNB
7451.503324,7118.363327,7118.363327,GNB
7604.637473,7118.334577,7118.334577,PLD
7605.90593,7115.389264,7115.389264,GNB
7838.841754,7115.257045,7115.257045,DRK
7545.592128,7114.522898,7114.522898,DRK
7301.438711,7113.524244,7113.524244,PLD
7781.653015,7112.4911,7112.4911,DRK
7262.333681,7110.940056,7110.940056,GNB
7500.263239,7110.784597,7110.784597,DRK
7812.749313,7110.374247,7110.374247,GNB
7580.720314,7109.928841,7109.928841,GNB
7713.689831,7108.91225,7108.91225,DRK
7457.332422,7108.635874,7108.635874,GNB
7746.444354,7107.998264,7107.998264,DRK
7604.214268,7106.762035,7106.762035,GNB
7477.90779,7105.455657,7105.455657,GNB
7757.076701,7104.932545,7104.932545,GNB
7596.507033,7104.171731,7104.171731,DRK
7629.290403,7104.137953,7104.137953,DRK
7522.915922,7104.057493,7104.057493,GNB
7444.165952,7103.95825,7103.95825,PLD
7886.783204,7103.765701,7103.765701,DRK
7771.340189,7100.713859,7100.713859,DRK
7329.941734,7100.165789,7100.165789,PLD
7441.903404,7099.657993,7099.657993,PLD
7292.184021,7099.362596,7099.362596,PLD
7569.268246,7099.008738,7099.008738,PLD
7709.505042,7099.004993,7099.004993,GNB
7731.958968,7097.578245,7097.578245,GNB
7445.961714,7094.497605,7094.497605,DRK
7381.320156,7093.909533,7093.909533,PLD
7344.143616,7093.166134,7093.166134,PLD
7559.171185,7092.479244,7092.479244,WAR
7552.145542,7092.461632,7092.461632,PLD
7328.635718,7092.363186,7092.363186,PLD
7408.564951,7092.342616,7092.342616,GNB
7621.090358,7091.823471,7091.823471,WAR
7567.183806,7091.634155,7091.634155,GNB
7316.853785,7091.003406,7091.003406,PLD
8036.659734,7090.659319,7090.659319,DRK
7350.379271,7090.607027,7090.607027,GNB
7803.484684,7090.581896,7090.581896,DRK
7341.124076,7089.861267,7089.861267,PLD
7429.328944,7089.199958,7089.199958,DRK
7848.054235,7089.066455,7089.066455,GNB
7308.897363,7088.764989,7088.764989,GNB
7249.318207,7088.483649,7088.483649,PLD
7493.041501,7087.047005,7087.047005,GNB
7627.304711,7086.589294,7086.589294,GNB
7430.808609,7086.588031,7086.588031,PLD
7458.762065,7084.822491,7084.822491,GNB
7527.831638,7083.940165,7083.940165,DRK
7521.091089,7083.286041,7083.286041,GNB
7409.878411,7082.22217,7082.22217,PLD
7474.758978,7081.320407,7081.320407,DRK
7529.833433,7080.211296,7080.211296,GNB
7520.120032,7078.912924,7078.912924,GNB
7505.964311,7078.809046,7078.809046,DRK
7572.479487,7077.534302,7077.534302,PLD
7571.035645,7076.939615,7076.939615,GNB
7393.395068,7076.294557,7076.294557,GNB
7911.720594,7075.018349,7075.018349,DRK
7379.058848,7074.112224,7074.112224,PLD
7702.112981,7073.544876,7073.544876,GNB
7381.999418,7073.356903,7073.356903,GNB
7339.178525,7073.325419,7073.325419,PLD
7426.429959,7072.783617,7072.783617,WAR
7533.039213,7072.6513,7072.6513,GNB
7669.060023,7070.600011,7070.600011,GNB
7484.23429,7070.36156,7070.36156,GNB
7535.341769,7068.97135,7068.97135,GNB
7510.827182,7068.247027,7068.247027,DRK
7586.738155,7068.193667,7068.193667,DRK
7690.816343,7067.121136,7067.121136,GNB
7734.290725,7066.629039,7066.629039,GNB
7409.608491,7066.533439,7066.533439,GNB
7562.976642,7066.314646,7066.314646,GNB
7653.106047,7065.911635,7065.911635,DRK
7910.375004,7065.543685,7065.543685,DRK
7404.110798,7063.677358,7063.677358,GNB
7641.721627,7063.625484,7063.625484,DRK
7408.099073,7063.474662,7063.474662,PLD
7634.343822,7062.800173,7062.800173,DRK
7705.794344,7062.489285,7062.489285,DRK
7557.169742,7061.545964,7061.545964,GNB
7419.628319,7060.946214,7060.946214,GNB
7464.93084,7060.839399,7060.839399,GNB
7508.996242,7060.344312,7060.344312,GNB
7578.039122,7059.216897,7059.216897,DRK
7779.633196,7058.349869,7058.349869,WAR
7588.591741,7057.973702,7057.973702,DRK
7298.867641,7057.881296,7057.881296,PLD
7290.815443,7057.294251,7057.294251,GNB
7303.98896,7056.838165,7056.838165,PLD
7505.604893,7054.582488,7054.582488,DRK
7314.050355,7053.093131,7053.093131,WAR
7450.099178,7050.691591,7050.691591,PLD
7414.430491,7050.42147,7050.42147,WAR
7495.227124,7047.783152,7047.783152,DRK
7310.651594,7042.070222,7042.070222,PLD
7371.050086,7041.536528,7041.536528,PLD
7473.222533,7041.055874,7041.055874,DRK
7480.864589,7039.487436,7039.487436,WAR
7252.569689,7038.937736,7038.937736,PLD
7373.960289,7038.376015,7038.376015,PLD
7434.631389,7036.917222,7036.917222,WAR
7329.676478,7036.125906,7036.125906,PLD
7475.194989,7034.3367,7034.3367,WAR
7505.620624,7032.184316,7032.184316,DRK
8017.714707,7031.797686,7031.797686,DRK
7511.820687,7031.516805,7031.516805,PLD
7397.315666,7031.449739,7031.449739,DRK
7540.510465,7030.335546,7030.335546,DRK
7633.612814,7030.277212,7030.277212,DRK
7439.030617,7029.673238,7029.673238,DRK
7845.049961,7028.995507,7028.995507,DRK
7673.079953,7027.533178,7027.533178,DRK
7629.413327,7026.851967,7026.851967,DRK
7295.622556,7026.565033,7026.565033,PLD
7727.593826,7026.306788,7026.306788,DRK
7394.004407,7024.877596,7024.877596,DRK
7322.944503,7024.578091,7024.578091,DRK
7377.871761,7022.792743,7022.792743,PLD
7357.756211,7020.82155,7020.82155,DRK
7425.59966,7019.316867,7019.316867,WAR
7377.544119,7018.999084,7018.999084,PLD
7446.059919,7018.399444,7018.399444,DRK
7315.399116,7017.81861,7017.81861,PLD
7241.718133,7017.190505,7017.190505,WAR
7536.512085,7016.957265,7016.957265,DRK
7265.956037,7014.853536,7014.853536,PLD
7434.316806,7014.648681,7014.648681,PLD
7258.024311,7014.222175,7014.222175,PLD
7573.21006,7013.459432,7013.459432,DRK
7267.702447,7011.566308,7011.566308,PLD
7512.148289,7009.727282,7009.727282,DRK
7780.535879,7009.589307,7009.589307,DRK
7329.977634,7008.941201,7008.941201,DRK
7278.838276,7008.46995,7008.46995,DRK
7763.131405,7008.468794,7008.468794,WAR
7523.098862,7007.831363,7007.831363,DRK
7303.332656,7007.674298,7007.674298,WAR
7330.561873,7004.79266,7004.79266,PLD
7114.174175,7004.714623,7004.714623,PLD
7720.845492,7003.689855,7003.689855,DRK
7218.216382,7003.021617,7003.021617,WAR
7233.778541,7002.164344,7002.164344,PLD
7300.193814,7001.677703,7001.677703,DRK
7324.059027,7001.598527,7001.598527,PLD
7389.57246,7001.022748,7001.022748,PLD
7620.040815,7000.494038,7000.494038,DRK
7393.965766,7000.44213,7000.44213,PLD
7153.160152,7000.031879,7000.031879,DRK
7492.175575,6998.665326,6998.665326,PLD
7404.184831,6995.928608,6995.928608,PLD
7282.564402,6995.919765,6995.919765,WAR
7291.823523,6995.800532,6995.800532,PLD
7278.004771,6995.214345,6995.214345,PLD
7323.2293,6991.577368,6991.577368,PLD
7295.225193,6990.366249,6990.366249,PLD
7377.840665,6988.910939,6988.910939,PLD
7310.57543,6988.150225,6988.150225,PLD
7619.317989,6987.27836,6987.27836,WAR
7093.043222,6987.030458,6987.030458,PLD
7374.589971,6986.993182,6986.993182,WAR
7520.339142,6986.749438,6986.749438,WAR
7265.50363,6986.09397,6986.09397,PLD
7201.956131,6985.597106,6985.597106,PLD
7519.998293,6983.312963,6983.312963,WAR
7075.22776,6982.465991,6982.465991,PLD
7277.215943,6981.67085,6981.67085,PLD
7455.587245,6981.50762,6981.50762,WAR
7180.855264,6981.231117,6981.231117,WAR
7146.645703,6979.415481,6979.415481,PLD
7387.813426,6979.407896,6979.407896,WAR
7268.622113,6978.181576,6978.181576,PLD
