aDPS,rDPS,nDPS,Class
6478.697066,7313.81409,6156.242719,SCH
6464.265795,7166.878502,6221.195356,SCH
6450.045989,7151.583273,6180.546883,SCH
6417.896982,7105.693985,6207.928216,SCH
5536.590679,7083.877952,5332.307093,AST
5515.938598,7068.167505,5326.768241,AST
6342.702818,7033.945462,6066.227576,SCH
6314.814192,7031.325788,6098.752782,SCH
6380.131686,6996.133713,6026.378888,SCH
6216.295611,6973.983217,6004.391744,SCH
5565.451116,6968.041391,5284.823142,AST
6439.959637,6966.693688,6033.602268,SCH
6249.68981,6963.868805,5914.893974,SCH
5584.897425,6951.428459,5323.977381,AST
6321.623398,6937.419453,6029.382516,SCH
6393.358316,6934.490108,6073.242377,SCH
6368.272932,6930.400047,6114.939021,SCH
6494.824261,6926.449911,6143.776072,SCH
6410.458456,6925.977414,6116.75669,SCH
5579.478351,6925.586853,5357.399456,AST
6214.408884,6908.440838,6017.317207,SCH
6157.887728,6893.569608,5951.204671,SCH
5702.131328,6887.249319,5279.799744,AST
6264.708048,6846.303321,6015.804617,SCH
6341.724424,6843.541063,5932.306347,SCH
6179.486532,6836.777212,5981.655175,SCH
6289.371092,6832.160089,6081.496883,SCH
6124.591257,6822.775869,5943.092671,SCH
6259.340215,6822.062079,5922.126722,SCH
6253.799148,6815.374148,5907.563075,SCH
6153.025853,6814.791871,5960.6754,SCH
6483.588258,6807.56137,6120.331167,SCH
6251.888688,6807.328797,6092.501576,SCH
6268.24577,6801.224611,6017.69618,SCH
6200.675993,6800.493056,6014.807261,SCH
7264.008861,6786.091559,6786.091559,WHM
5493.099725,6776.845118,5256.975333,AST
6137.023786,6776.493482,5974.298866,SCH
7042.679356,6775.13378,6775.13378,WHM
5336.786477,6774.175259,5145.491278,AST
5359.885458,6773.854117,5198.121778,AST
6235.127146,6757.787898,5979.314952,SCH
5660.729822,6750.701,5350.160406,AST
6283.993381,6750.288986,6050.80522,SCH
5428.011104,6746.296348,5198.143744,AST
5571.146165,6740.606441,5308.943124,AST
6121.956727,6735.557153,5840.944421,SCH
6193.904492,6721.67504,5937.283003,SCH
6282.780241,6720.897004,5910.35841,SCH
6198.154471,6720.892467,5895.095571,SCH
5631.097973,6718.423717,5304.403688,AST
7190.729584,6715.978303,6715.978303,WHM
6279.606179,6713.919837,6073.57269,SCH
6280.615762,6707.999631,5934.447017,SCH
5422.979654,6701.829769,5242.792177,AST
6188.902658,6697.613345,5959.859952,SCH
5469.044094,6695.285201,5180.480532,AST
6191.70528,6684.5231,6027.471811,SCH
6146.489425,6684.34045,5958.425432,SCH
6119.049589,6683.197035,5892.662833,SCH
5528.91518,6677.496696,5331.81452,AST
6204.30559,6676.181243,5946.167406,SCH
6144.4841,6672.094305,5780.162468,SCH
6180.595442,6669.377158,5970.905976,SCH
6308.467843,6661.11708,5917.421962,SCH
5350.165969,6659.619492,5194.336796,AST
6052.937146,6658.350376,5841.34816,SCH
6105.159102,6652.060349,5927.709022,SCH
6142.593457,6647.843698,5967.631676,SCH
5429.336255,6647.432724,5195.787791,AST
6271.141759,6643.268731,6026.334611,SCH
6141.260525,6639.749872,5902.65031,SCH
6068.018419,6637.025116,5776.927575,SCH
5303.659478,6631.340184,5200.981194,AST
5582.512499,6625.786369,5220.263157,AST
5868.683169,6624.152169,5731.798593,SCH
6947.679705,6623.543568,6623.543568,WHM
6139.928624,6621.115009,5843.200359,SCH
5972.797041,6620.870401,5788.073203,SCH
7003.259891,6617.279752,6617.279752,WHM
6145.060325,6612.7993,5855.498298,SCH
6178.010863,6611.650927,5925.294596,SCH
6037.860078,6611.254574,5897.497795,SCH
6171.819824,6610.832206,5838.738064,SCH
6194.147495,6610.732912,5870.194994,SCH
5555.275433,6607.749023,5320.523498,AST
5360.745743,6606.348816,5041.534704,AST
6071.850069,6605.79841,5874.399028,SCH
6780.87544,6604.695363,6604.695363,SGE
6098.096475,6602.910232,5884.697242,SCH
5964.539232,6599.845839,5755.07275,SCH
5873.692897,6598.998143,5706.22659,SCH
6163.937754,6598.003318,5916.788149,SCH
5387.304612,6596.814758,5146.105093,AST
6894.499632,6595.915419,6595.915419,WHM
6186.187596,6595.542642,5963.197544,SCH
6810.538588,6593.887066,6593.887066,WHM
6097.70204,6593.54124,5841.560749,SCH
5907.327717,6591.907902,5691.695274,SCH
